Card   1: 81  1 43 40 49 51 38 65 36  4 | 21 15  1 43 60  9 83 81 35 49 40 38 82 65 20  4 58 94 16 89 84 10 77 48 76
Card   2: 15 89 71 17 91 78 35 55 68 49 | 80 31 89 91 23 55 36 68 22 61 66 24 42 49 33 21 19 73 29 60 15 34 71 10 87
Card   3:  4 45 78 42 29 92 16 90 93 30 | 97 90 75 40 43 65 92 83 41  4 47 35 29 80 68 87 30 71 98 42 95  7 76 69 88
Card   4: 81  2 80 85 14 28 88 84 74 78 | 54 38 30 40 85 93 71 10 67  2 81 57 74  9 14  5 97 28 79 95 84 65 69 23 21
Card   5: 40 27 72 38 99 28 74 31 45 41 | 64 61 77 92 96 34 29 44 91 40 73 20 38 39 85 27 56 52 86 41 87 24 13 62 30
Card   6: 58 67 17 96 73  9  5 71 23 87 | 67 72 79  7 54 47 94 84 98 17  5 99 82 27 21 96 23 22 87 66 36 26 76 19 58
Card   7: 89 70 36 38 86 50 94 62 56  3 |  7  8 56 14 58 65 63 36 54 59 78 79 11  2 69 55 61 39 19 60  4 99 90 17 95
Card   8: 29 54 26  8 44 43 41 15 63 22 | 76 91 70 54  1 33 11 88 26 69 64 44 16 20 46 25 38 49 15 10 29 32 87  8 67
Card   9: 41 26 83 86 96 27 57  6 92 10 | 14  1 39 15 12 21 13 25 43 87 78 67 58 51 49 97 30 76 59 65 93 60 44 77 90
Card  10: 38 40 81 54 30 61 82 51 99 71 | 43 74 45 70 18 31 66 96 21 92 61 91 55 67 41 15 77 88 11  7  8 93 30 35 82
